Street address,CLUE small area,Trading name,x coordinate,y coordinate
25 Bennetts Lane,Melbourne (CBD),Bennetts Lane Jazz Club,144.967558,-37.80889245
27-37 Russell Street,Melbourne (CBD),Whiskey Den ,144.9692478,-37.81598754
315-321 Elizabeth Street,Melbourne (CBD),The Meeting Place,144.9614724,-37.81124935
4-6 Goldie Place,Melbourne (CBD),Paris Cat Jazz Club,144.9608287,-37.81351769
614-616 Elizabeth Street,Carlton,The Last Jar,144.9589387,-37.80389369
415-421 Rathdowne Street,Carlton,The Beaufort,144.9704262,-37.79652005
163-169 Russell Street,Melbourne (CBD),Eden Bar,144.9676479,-37.81246709
313-315 Flinders Lane,Melbourne (CBD),Randy Dragon,144.9638507,-37.81763918
223-227 Canning Street,Carlton,Dan O'Connell Hotel,144.9733817,-37.79303229
125-127 Flinders Lane,Melbourne (CBD),GoGo Bar ,144.9703998,-37.81568875
427-457 Swanston Street,Melbourne (CBD),The Oxford Scholar Hotel,144.9626932,-37.80826292
52 La Trobe Street,Melbourne (CBD),Karaoke Box,144.9672465,-37.80828608
21-25 Hardware Lane,Melbourne (CBD),Campari House,144.9613142,-37.81409153
66-88 Lygon Street,Carlton,Lagers On Lygon,144.9665747,-37.80530329
401-405 Little Bourke Street,Melbourne (CBD),The Apartment Restaurant Club Lounge,144.9610348,-37.81403196
31-39 Elizabeth Street,Melbourne (CBD),The Joint Bar,144.9643316,-37.81741878
233-237 Lonsdale Street,Melbourne (CBD),The Emerald Peacock,144.9655481,-37.81158031
150-162 Flinders Street,Melbourne (CBD),Forum Theatre Bar,144.9693866,-37.81648541
207-361 Flinders Street,Melbourne (CBD),Clocks At Flinders Street Station,144.9654659,-37.81866105
7-9 Waratah Place,Melbourne (CBD),Manchuria,144.9669911,-37.81162502
55-57 Elizabeth Street,Melbourne (CBD),Fiftyfive,144.9641302,-37.81697242
206-218 Bourke Street,Melbourne (CBD),Xiang Club,144.9668768,-37.81259409
377-391 Cardigan Street,Carlton,Clyde Hotel,144.9657541,-37.79725532
380-388 Russell Street,Melbourne (CBD),Blue Moon Bar,144.9660836,-37.80749583
324-328 Little Lonsdale Street,Melbourne (CBD),Alchemist's Refuge,144.9599402,-37.81167474
395-397 Little Lonsdale Street,Melbourne (CBD),Horse Bazaar,144.9602499,-37.81190077
206-218 Bourke Street,Melbourne (CBD),Rainbow Karaoke,144.9668768,-37.81259409
206-218 Bourke Street,Melbourne (CBD),VS Sports Bar,144.9668768,-37.81259409
2 Swanston Street,Melbourne (CBD),Zinc at Federation Square,144.9699175,-37.81784465
187 Flinders Lane,Melbourne (CBD),The Adelphi Hotel,144.9683751,-37.81635789
67-73 Hardware Lane,Melbourne (CBD),The Mill,144.960908,-37.81323451
213-217 Russell Street,Melbourne (CBD),Escape City,144.9672365,-37.81156167
281-287 Swanston Street,Melbourne (CBD),Bornga,144.9643593,-37.81143223
281-287 Swanston Street,Melbourne (CBD),Mui Karaoke,144.9643593,-37.81143223
13 Heffernan Lane,Melbourne (CBD),Union Electric,144.9665913,-37.81180178
331-335 Lygon Street,Carlton,Wolfs Lair,144.9671779,-37.7975082
391-393 Little Lonsdale Street,Melbourne (CBD),La La Land,144.9603411,-37.81187439
267 Little Collins Street,Melbourne (CBD),Polepole Bar,144.9656034,-37.81483458
252-254 Flinders Lane,Melbourne (CBD),Hell's Kitchen,144.9655966,-37.8166033
341-347 Flinders Lane,Melbourne (CBD),Bull And Bear Tavern,144.9630313,-37.81782313
317-323 Flinders Lane,Melbourne (CBD),Sebel Melbourne - Flinders Lane,144.9637238,-37.81771479
106-112 Hardware Street,Melbourne (CBD),Nieuw Amsterdam,144.9606805,-37.81213605
293-299 La Trobe Street,Melbourne (CBD),Burger Theory / The Hills Rooftop / The Tuxedo Cat,144.9605086,-37.81081439
298 Lygon Street,Carlton,Carlton Yacht Club Bar,144.9673764,-37.79998572
270-276 Lygon Street,Carlton,University Hotel,144.9672432,-37.8005263
414-422 Lygon Street,Carlton,Astor Hotel,144.9678126,-37.79694555
162-168 Collins Street,Melbourne (CBD),The Long Room,144.9678476,-37.81450301
16-20 Corrs Lane,Melbourne (CBD),Euro House / Pulp Club,144.9683854,-37.81112914
16-20 Corrs Lane,Melbourne (CBD),House of Maximon / Berlin Bar,144.9683854,-37.81112914
100 Little Lonsdale Street,Melbourne (CBD),Gami Chicken and Beer,144.9687195,-37.80913623
401-405 Swanston Street,Melbourne (CBD),Red Love Bar Musicroom,144.963217,-37.80904283
196-212 Little Collins Street,Melbourne (CBD),Hairy Canary,144.9671568,-37.81384227
115-127 Russell Street,Melbourne (CBD),Portland Hotel,144.9681892,-37.81367486
21 Liverpool Street,Melbourne (CBD),Double Happiness Bar / New Gold Mountain,144.9712639,-37.81118056
2-8 Queen Street,Melbourne (CBD),Candela Nuevo,144.9627098,-37.81858716
187 Flinders Lane,Melbourne (CBD),Mon Bijou,144.9683751,-37.81635789
209-211 Lonsdale Street,Melbourne (CBD),Boilermaker House,144.9662609,-37.8114331
199-203 Russell Street,Melbourne (CBD),Exford Hotel,144.9673406,-37.81179179
125-133 Swanston Street,Melbourne (CBD),Max Watt's,144.9658102,-37.81472467
188-194 Little Collins Street,Melbourne (CBD),Gin Palace,144.9675807,-37.81390779
19-25 Little Bourke Street,Melbourne (CBD),Mrs Parma's ,144.9719903,-37.81074304
300 Russell Street,Melbourne (CBD),Jankara Karaoke,144.966904,-37.80951668
2-8 Bourke Street,Melbourne (CBD),Imperial Hotel,144.972676,-37.8112003
377-381 Lonsdale Street,Melbourne (CBD),Trapt Bar & Escape Rooms,144.9614648,-37.81291055
91-95 Cardigan Street,Carlton,Hotel Lincoln,144.9645057,-37.80448528
267 Little Collins Street,Melbourne (CBD),Bar Americano,144.9656034,-37.81483458
49 Rathdowne Street,Carlton,Epocha Restaurant,144.9685944,-37.80578725
131-141 Russell Street,Melbourne (CBD),QT Melbourne,144.967831,-37.81342885
79-85 Bourke Street,Melbourne (CBD),Good Heavens,144.9710404,-37.81217956
184-186 Bourke Street,Melbourne (CBD),Stars KTV and Lounge,144.9676888,-37.81267583
94-96 Bourke Street,Melbourne (CBD),The Elephant and Wheelbarrow,144.9702485,-37.81191058
107-109 Flinders Lane,Melbourne (CBD),Jack & Bones,144.9708344,-37.81560645
413-417 Elizabeth Street,Melbourne (CBD),Workshop,144.9605226,-37.80918797
86-88 Collins Street,Melbourne (CBD),Ra,144.9705847,-37.81393777
167-175 Franklin Street,Melbourne (CBD),Disco Bar,144.9591538,-37.80895967
121-131 Collins Street,Melbourne (CBD),Spice Market,144.9698467,-37.81516811
25-31 Spring Street,Melbourne (CBD),HiHou,144.9741019,-37.81454561
121-123 Flinders Lane,Melbourne (CBD),Sake Restaurant and Bar,144.9705132,-37.81567009
95-101 Flinders Lane,Melbourne (CBD),Garden State Hotel,144.9711039,-37.81553247
146-150 Bourke Street,Melbourne (CBD),FM Karaoke Bar,144.9687387,-37.81235798
113 Lonsdale Street,Melbourne (CBD),Seamstress,144.9690111,-37.81056538
22-26 Corrs Lane,Melbourne (CBD),Gr8 Bar,144.9683249,-37.8109979
33-39 Little Lonsdale Street,Melbourne (CBD),The Fringe,144.9707325,-37.8091842
11-37 Exhibition Street,Melbourne (CBD),The Fair Trader Cafe,144.9717262,-37.81546152
133-135 Flinders Lane,Melbourne (CBD),Meatball & Wine Bar,144.9701585,-37.81573536
27-31 Lygon Street,Carlton,The Curtin,144.9656988,-37.80619915
54-62 Bourke Street,Melbourne (CBD),Romeo Lane,144.9713808,-37.81156933
118-122 Bourke Street,Melbourne (CBD),Fireflies Club,144.969548,-37.81207418
121-131 Collins Street,Melbourne (CBD),RU-CO,144.9698467,-37.81516811
270 Russell Street,Melbourne (CBD),Whisky and Alement,144.9671591,-37.81011116
21-25 Croft Alley,Melbourne (CBD),The Croft Institute,144.9690881,-37.81206249
84-94 Flinders Street,Melbourne (CBD),Eau-De-Vie ,144.9716757,-37.81587662
124-128 Bourke Street,Melbourne (CBD),Welcome Stranger,144.9692645,-37.81207094
152-158 Bourke Street,Melbourne (CBD),Charltons Entertainment Complex / Roxanne Bar,144.9685359,-37.81206119
226-236 Russell Street,Melbourne (CBD),Heartbreaker,144.9676444,-37.81098272
39-43 Bourke Street,Melbourne (CBD),Spleen Central,144.9720472,-37.81193572
19-23 Meyers Place,Melbourne (CBD),Loop Project Space & Bar,144.9721078,-37.8121518
242-284 Exhibition Street,Melbourne (CBD),Coopers Inn,144.9699756,-37.80941489
114-122 Exhibition Street,Melbourne (CBD),European Bier Cafe,144.9711999,-37.81285806
62-66 Little Collins Street,Melbourne (CBD),Magic Mountain Saloon,144.971442,-37.81280958
59-63 Bourke Street,Melbourne (CBD),Club Asuka,144.9715659,-37.81212537
18-24 Market Lane,Melbourne (CBD),Ding Dong Lounge,144.9694031,-37.81175137
12-14 Corrs Lane,Melbourne (CBD),Fad Gallery,144.9684328,-37.81123016
124 La Trobe Street,Melbourne (CBD),Pearson and Murph'y Cafe,144.9645504,-37.80818365
106 Little Lonsdale Street,Melbourne (CBD),Troika Bar ,144.96859,-37.8091536
103-105 Lonsdale Street,Melbourne (CBD),Bomba Tapas Bar and Rooftop,144.9692541,-37.81049305
161 Spring Street,Melbourne (CBD),The European,144.9724291,-37.8109513
86-88 Collins Street,Melbourne (CBD),Collins Quarter ,144.9705847,-37.81393777
34-38 Franklin Street,Melbourne (CBD),Captain Melville ,144.9616126,-37.80752292
69-73 Collins Street,Melbourne (CBD),Harley House,144.9713489,-37.8143446
91-93 Flinders Lane,Melbourne (CBD),Papa Goose / Mary Fortune Cocktail Bar,144.9712228,-37.81543506
192-202 Lygon Street,Carlton,Players On Lygon,144.9670522,-37.80245924
160-162 Lygon Street,Carlton,Vodka Temple,144.9667699,-37.80344164
67-73 Hardware Lane,Melbourne (CBD),Charlie's Bar,144.960908,-37.81323451
335-339 Flinders Lane,Melbourne (CBD),Bartronica,144.9632258,-37.81784765
277-279 Flinders Lane,Melbourne (CBD),The Mill House Bar,144.9652979,-37.81724201
242-244 Little Bourke Street,Melbourne (CBD),Shanghai Club,144.965603,-37.81213633
146 Swanston Street,Melbourne (CBD),Cabinet Bar ,144.9662039,-37.81417648
338-352 Bourke Street,Melbourne (CBD),Alto Events,144.9632879,-37.81360425
256 Collins Street,Melbourne (CBD),The Butterfly Club,144.9652914,-37.81552514
27-29 Tattersalls Lane,Melbourne (CBD),Section 8 Bar,144.9653899,-37.81176167
248-258 Swanston Street,Melbourne (CBD),The Toff In Town,144.9652504,-37.81199559
248-258 Swanston Street,Melbourne (CBD),Rooftop Cinema & Bar,144.9652504,-37.81199559
318-322 Little Bourke Street,Melbourne (CBD),Penny Blue,144.9631276,-37.81292437
239 Lonsdale Street,Melbourne (CBD),Ferdydurke,144.965378,-37.81159495
15-19 Warburton Lane,Melbourne (CBD),Murmur,144.9618462,-37.81381239
22 Drewery Place,Melbourne (CBD),Sister Bellas,144.9638158,-37.81135
2 Swanston Street,Melbourne (CBD),Transport Hotel,144.9699175,-37.81784465
2 Swanston Street,Melbourne (CBD),Transit Rooftop Bar,144.9699175,-37.81784465
248-258 Swanston Street,Melbourne (CBD),Cookie,144.9652504,-37.81199559
318-322 Little Collins Street,Melbourne (CBD),New Guernica,144.9640121,-37.81488174
1-5 Elizabeth Street,Melbourne (CBD),Dreams Gentlemen's Club,144.964608,-37.81805666
244-250 Queen Street,Melbourne (CBD),Bar 420,144.959964,-37.81269018
301-303 Swanston Street,Melbourne (CBD),Sahara Restaurant,144.9641938,-37.81107765
2-20 Drewery Place,Melbourne (CBD),Baroq House,144.9639703,-37.81130304
280-292 Collins Street,Melbourne (CBD),The Charles Dickens Tavern,144.9645574,-37.81567229
16-26 Bond Street,Melbourne (CBD),Bond Melbourne,144.9630575,-37.81814578
16-30 Russell Place,Melbourne (CBD),Bar Ampere,144.9674275,-37.81355434
221 Little Lonsdale Street,Melbourne (CBD),Father's Office,144.9657034,-37.810658
183-265 La Trobe Street,Melbourne (CBD),Equinox Bar Restaurant,144.9630189,-37.81073331
183-265 La Trobe Street,Melbourne (CBD),Partyworld,144.9630189,-37.81073331
183-265 La Trobe Street,Melbourne (CBD),Melbourne Central Lion Hotel,144.9630189,-37.81073331
183-265 La Trobe Street,Melbourne (CBD),Strike Melbourne Central,144.9630189,-37.81073331
183-265 La Trobe Street,Melbourne (CBD),Hush Bar @ Melbourne Central,144.9630189,-37.81073331
183-265 La Trobe Street,Melbourne (CBD),Hoyts,144.9630189,-37.81073331
221 Little Lonsdale Street,Melbourne (CBD),Idarts Hive,144.9657034,-37.810658
264-266 Swanston Street,Melbourne (CBD),Goldilocks,144.9651474,-37.81181063
2 Swanston Street,Melbourne (CBD),Beer De Luxe,144.9699175,-37.81784465
314-336 Bourke Street,Melbourne (CBD),Mural Hall,144.9638295,-37.81344503
248-258 Swanston Street,Melbourne (CBD),Mesa Verde,144.9652504,-37.81199559
193-199 Bourke Street,Melbourne (CBD),The Carlton Hotel,144.9676452,-37.81320485
1-7 Swanston Street,Melbourne (CBD),Young & Jacksons,144.967023,-37.817356
243-249 Swanston Street,Melbourne (CBD),The Lounge,144.9647365,-37.81230108
14-20 Goldie Place,Melbourne (CBD),Word,144.960731,-37.81328585
221 Little Lonsdale Street,Melbourne (CBD),Strike Bowling,144.9657034,-37.810658
191-205 Swanston Street,Melbourne (CBD),Cocoon Bar,144.9649993,-37.81309229
191-205 Swanston Street,Melbourne (CBD),Black Opal,144.9649993,-37.81309229
54-60 Market Street,Melbourne (CBD),Oak & Vine Bar,144.9608283,-37.81778076
428-432 Little Bourke Street,Melbourne (CBD),DANSK Restaurant,144.9597229,-37.81392392
14-20 King Street,Melbourne (CBD),Spearmint Rhino Gentlemen's Club,144.9577148,-37.81977635
422-428 Little Collins Street,Melbourne (CBD),Little Red Pocket,144.960326,-37.8159076
111-129 Queen Street,Melbourne (CBD),Karstens At CQ ,144.9606367,-37.81581152
111-129 Queen Street,Melbourne (CBD),Blue Diamond,144.9606367,-37.81581152
85-91 Queen Street,Melbourne (CBD),Melbourne Black Rabbit,144.9610213,-37.81649711
11A Highlander Lane,Melbourne (CBD),Highlander Bar,144.9579702,-37.81970334
111-129 Queen Street,Melbourne (CBD),CQ Bar,144.9606367,-37.81581152
14-20 King Street,Melbourne (CBD),Tramp Bar,144.9577148,-37.81977635
582-584 Little Collins Street,Melbourne (CBD),Saint & Rogue,144.9553525,-37.81740928
103-105 Queen Street,Melbourne (CBD),Chaise Lounge,144.9608476,-37.81614776
196-200 A'Beckett Street,Melbourne (CBD),Nomads Industry Backpackers,144.9574447,-37.80998494
263-267 William Street,Melbourne (CBD),Metropolitan Hotel,144.9565837,-37.81292397
204-208 King Street,Melbourne (CBD),Great Western Hotel,144.9554836,-37.81521196
508-514 Flinders Street,Melbourne (CBD),Waterside Hotel,144.9571505,-37.820166
131-141 Queen Street,Melbourne (CBD),The Turf Bar & Restaurant,144.9605409,-37.81549904
502-504 Flinders Street,Melbourne (CBD),Insignia on Flinders,144.9576571,-37.82005619
435-443 Little Collins Street,Melbourne (CBD),Marrakech Bar,144.9600859,-37.81638558
5-9 Bank Place,Melbourne (CBD),Mitre Tavern,144.9603112,-37.81680457
12-16 Bank Place,Melbourne (CBD),Melbourne Savage Club,144.9605765,-37.81654467
433 Little Collins Street,Melbourne (CBD),Dikstein's Corner Bar,144.9603413,-37.81631094
430-442 Collins Street,Melbourne (CBD),The Mug House,144.9597623,-37.81703239
188-202 King Street,Melbourne (CBD),La Di Da,144.9556244,-37.81551353
415-417 Collins Street,Melbourne (CBD),The Sherlock Holmes Inn,144.9608681,-37.81746814
566-580 Flinders Street,Melbourne (CBD),UBar,144.9553465,-37.82072034
111-129 Queen Street,Melbourne (CBD),CitiClub On Queen Hotel ,144.9606367,-37.81581152
561-585 Flinders Lane,Melbourne (CBD),Holiday Inn On Flinders Melbourne,144.9551524,-37.82020482
98-110 William Street,Melbourne (CBD),The Australian Club,144.9591218,-37.81674542
425-427 Little Collins Street,Melbourne (CBD),The Irish Times,144.9605354,-37.8162542
170-176 William Street,Melbourne (CBD),Cafe Lavita On William ,144.9582309,-37.81492637
672-696 Bourke Street,Melbourne (CBD),Mail Exchange Hotel,144.9535902,-37.81663038
419-429 Collins Street,Melbourne (CBD),Ms Collins,144.9606531,-37.81752882
211-213 Franklin Street,Melbourne (CBD),Island Somewhere,144.957829,-37.8097181
120-138 King Street,Melbourne (CBD),El Coco,144.9564078,-37.81703156
26-32 King Street,Melbourne (CBD),Clique Bar,144.957466,-37.81952934
483-501 Bourke Street,Melbourne (CBD),RACV City Club,144.9595925,-37.81587957
277-287 King Street,Melbourne (CBD),Hotel Sophia,144.9541999,-37.81367535
203-207 King Street,Melbourne (CBD),Bar Humbug,144.9549691,-37.81538904
597-603 Lonsdale Street,Melbourne (CBD),The Men's Gallery,144.9544951,-37.81491898
607-623 Collins Street,Melbourne (CBD),Batman's Hill On Collins Hotel,144.95469,-37.81929312
23-37 Star Crescent,Docklands,Harbour Town Hotel,144.9378299,-37.81315031
85-161 Spencer Street,Docklands,Network Public Bar & Pizzeria,144.9523393,-37.81815358
717-731 Collins Street,Docklands,Bar Nicional,144.9500934,-37.82068699
122-148 Harbour Esplanade,Docklands,Legends Bar,144.9475776,-37.81656591
1-5 Spencer Street,Docklands,Crown Plaza,144.9549939,-37.8226581
122-148 Harbour Esplanade,Docklands,The Medallion Club,144.9475776,-37.81656591
122-148 Harbour Esplanade,Docklands,Locker Room Club Bar,144.9475776,-37.81656591
99-127 Pearl River Road,Docklands,Igloo Cafe & St Moritz Bar,144.9356321,-37.81223232
143-175 Harbour Esplanade,Docklands,Alumbra,144.9435654,-37.8165193
425-427 Docklands Drive,Docklands,Waterfront Venues,144.9390269,-37.81517782
122-148 Harbour Esplanade,Docklands,E J Whitten Bar ,144.9475776,-37.81656591
122-148 Harbour Esplanade,Docklands,Captains Bar ,144.9475776,-37.81656591
747-757 Bourke Street,Docklands,The Nixon Hotel,144.9479753,-37.81925128
24-42 Newquay Promenade,Docklands,Vacant,144.942139,-37.81434525
