ACCIDENT_TIME,DAY_OF_WEEK,LONGITUDE,LATITUDE,Suburbs,TOTAL_PERSONS,ACCIDENT_TYPE
18.14.00,Thursday,144.97322,-37.80772,YARRA,2,Collision with vehicle
18.15.00,Thursday,145.02672,-37.77012,DAREBIN,2,Collision with vehicle
18.15.00,Thursday,144.95956,-37.81862,MELBOURNE,2,Struck Pedestrian
19.30.00,Thursday,145.001,-37.69381,WHITTLESEA,3,Collision with vehicle
19.40.00,Thursday,145.02179,-37.71667,DAREBIN,2,Collision with vehicle
18.04.00,Thursday,144.99393,-37.74428,DAREBIN,5,Collision with vehicle
21.25.00,Thursday,145.15536,-38.35357,MORNINGTON PENINSULA,1,Collision with a fixed object
21.30.00,Saturday,143.85187,-37.56142,BALLARAT,2,Collision with vehicle
18.39.00,Thursday,145.0861,-37.92447,KINGSTON,2,Collision with vehicle
16.40.00,Friday,145.18996,-38.27209,MORNINGTON PENINSULA,2,Collision with vehicle
16.05.00,Friday,144.26989,-36.76186,BENDIGO,3,Collision with vehicle
16.52.00,Friday,145.01038,-37.7009,DAREBIN,3,Collision with vehicle
17.00.00,Friday,145.00539,-37.76388,DAREBIN,2,Collision with vehicle
16.06.00,Friday,145.00851,-38.36583,MORNINGTON PENINSULA,1,Vehicle overturned (no collision)
18.35.00,Friday,144.96704,-37.83114,PORT PHILLIP,2,Collision with vehicle
18.30.00,Friday,145.06196,-37.90562,GLEN EIRA,2,Collision with vehicle
17.15.00,Friday,144.83126,-37.71176,BRIMBANK,2,Collision with a fixed object
18.55.00,Friday,145.04027,-37.92621,GLEN EIRA,2,Collision with vehicle
18.30.00,Saturday,145.11363,-37.91672,MONASH,1,No collision and no object struck
17.30.00,Friday,145.0691,-37.83278,BOROONDARA,2,Collision with vehicle
22.15.00,Saturday,145.16733,-38.35352,MORNINGTON PENINSULA,1,Collision with a fixed object
21.25.00,Saturday,145.09335,-37.71442,BANYULE,3,Collision with vehicle
21.50.00,Saturday,145.14434,-38.16233,FRANKSTON,5,Collision with vehicle
23.22.00,Saturday,144.96839,-37.79226,MELBOURNE,4,Collision with vehicle
06.30.00,Sunday,145.27558,-38.00344,CASEY,2,Collision with a fixed object
16.30.00,Friday,145.043,-37.94482,KINGSTON,2,Collision with vehicle
00.40.00,Sunday,145.08453,-37.84913,BOROONDARA,1,Vehicle overturned (no collision)
23.00.00,Saturday,143.53629,-37.45443,PYRENEES,4,Collision with vehicle
04.00.00,Sunday,145.16621,-36.37242,SHEPPARTON,1,Vehicle overturned (no collision)
15.00.00,Saturday,142.03603,-36.05071,HINDMARSH,1,No collision and no object struck
22.38.00,Sunday,145.19403,-38.11717,FRANKSTON,7,Collision with vehicle
05.20.00,Tuesday,146.98945,-37.9433,WELLINGTON,1,collision with some other object
22.50.00,Saturday,144.98857,-37.8261,MELBOURNE,7,Collision with vehicle
06.45.00,Sunday,144.97487,-37.75667,MORELAND,1,Collision with vehicle
18.00.00,Sunday,146.79414,-37.97973,WELLINGTON,1,Vehicle overturned (no collision)
18.25.00,Tuesday,144.9833,-37.88667,PORT PHILLIP,2,Collision with vehicle
16.50.00,Sunday,144.94048,-37.76166,MORELAND,2,Collision with vehicle
16.55.00,Sunday,144.96203,-37.81791,MELBOURNE,2,Collision with vehicle
18.26.00,Sunday,144.98001,-37.77639,YARRA,2,Collision with vehicle
18.50.00,Sunday,145.31934,-37.74135,YARRA RANGES,3,Vehicle overturned (no collision)
19.55.00,Sunday,144.99965,-37.6768,WHITTLESEA,2,Collision with vehicle
18.00.00,Sunday,142.91623,-37.25777,ARARAT,8,Collision with vehicle
18.30.00,Wednesday,145.00767,-37.84425,STONNINGTON,2,Collision with vehicle
14.00.00,Saturday,144.44178,-37.69261,MOORABOOL,1,Vehicle overturned (no collision)
15.00.00,Saturday,144.93157,-37.79106,MELBOURNE,2,Collision with vehicle
20.30.00,Monday,145.26397,-37.75289,MANNINGHAM,3,Collision with a fixed object
19.45.00,Saturday,144.75369,-37.87837,HOBSONS BAY,2,Struck Pedestrian
15.00.00,Saturday,144.91671,-37.68482,HUME,3,Collision with vehicle
17.10.00,Friday,145.02117,-37.73522,DAREBIN,2,Collision with vehicle
15.03.00,Saturday,145.12014,-38.14534,FRANKSTON,3,Collision with vehicle
19.30.00,Friday,142.15318,-34.18459,MILDURA,2,Collision with vehicle
16.50.00,Saturday,144.99722,-37.85187,STONNINGTON,2,Struck Pedestrian
17.00.00,Saturday,145.03769,-37.85914,STONNINGTON,2,Collision with vehicle
17.58.00,Saturday,144.94964,-37.77124,MORELAND,2,Collision with vehicle
22.00.00,Friday,146.48019,-36.04837,INDIGO,1,Collision with a fixed object
16.50.00,Saturday,145.11503,-37.81689,WHITEHORSE,5,Collision with vehicle
17.06.00,Saturday,144.89577,-37.68676,HUME,1,Collision with a fixed object
18.03.00,Saturday,145.09409,-37.85898,BOROONDARA,7,Collision with vehicle
18.26.00,Saturday,145.18925,-37.80405,MANNINGHAM,2,Collision with vehicle
16.20.00,Saturday,145.1163,-37.94294,KINGSTON,5,Collision with vehicle
18.00.00,Saturday,144.99562,-37.8395,STONNINGTON,2,Struck Pedestrian
17.15.00,Saturday,144.87756,-37.76893,MARIBYRNONG,4,Collision with vehicle
20.46.00,Saturday,144.97292,-37.80955,MELBOURNE,3,Collision with vehicle
19.50.00,Saturday,144.97698,-37.80711,YARRA,1,No collision and no object struck
22.07.00,Saturday,144.79096,-37.70916,BRIMBANK,1,Collision with a fixed object
19.45.00,Thursday,144.84144,-37.7729,BRIMBANK,3,Collision with vehicle
18.00.00,Tuesday,143.58711,-38.34089,COLAC OTWAY,2,Collision with vehicle
18.00.00,Friday,144.9583,-37.79372,MELBOURNE,3,Collision with vehicle
18.54.00,Tuesday,145.00788,-37.71431,DAREBIN,3,Collision with vehicle
21.30.00,Tuesday,144.83273,-37.75158,BRIMBANK,6,Collision with vehicle
22.00.00,Tuesday,144.53072,-37.68724,MELTON,2,Collision with a fixed object
22.05.00,Tuesday,144.95073,-37.80529,MELBOURNE,3,Struck Pedestrian
01.30.00,Wednesday,142.37532,-36.82648,HORSHAM,1,Collision with a fixed object
18.45.00,Saturday,144.95804,-37.79582,MELBOURNE,3,Collision with vehicle
22.30.00,Saturday,144.91728,-38.35752,MORNINGTON PENINSULA,1,Collision with vehicle
18.08.00,Wednesday,144.97681,-37.84944,PORT PHILLIP,8,Collision with vehicle
18.10.00,Wednesday,145.23276,-37.92958,KNOX,3,Collision with vehicle
19.20.00,Wednesday,145.05533,-37.89829,GLEN EIRA,2,Struck Pedestrian
18.45.00,Wednesday,144.56446,-37.68786,MELTON,6,Collision with vehicle
19.15.00,Wednesday,145.24779,-37.98467,CASEY,1,No collision and no object struck
21.45.00,Wednesday,146.95836,-38.10069,WELLINGTON,2,Collision with vehicle
04.40.00,Thursday,144.3951,-38.16852,GEELONG,2,Collision with a fixed object
22.00.00,Wednesday,146.17093,-38.21635,BAW BAW,1,Collision with a fixed object
17.00.00,Saturday,145.09831,-37.82046,BOROONDARA,2,Struck Pedestrian
20.30.00,Monday,144.98056,-37.86708,PORT PHILLIP,1,Vehicle overturned (no collision)
18.15.00,Thursday,144.88213,-37.82027,MARIBYRNONG,2,Collision with vehicle
18.47.00,Thursday,146.29477,-38.1799,LATROBE,3,Collision with vehicle
18.55.00,Thursday,145.04028,-37.90398,GLEN EIRA,2,Struck Pedestrian
