Name,Opening Hours,Street Address,Phone,Long,Lat
Alexandra,Non-24 Hours,0 Grant Street,(03) 57721040,145.7099248,-37.1919884
Altona North,24 Hours,72 Cooper Avenue,(03) 93923111,144.8448393,-37.8360215
Anglesea,Non-24 Hours,55 Great Ocean Road,(03) 52633468,144.1921503,-38.4033595
Apsley,Non-24 Hours,Splatt Street,(03) 55861210,141.08264,-36.969013
Ararat,24 Hours,Barkly Street,(03) 53551500,142.9359507,-37.2841622
Ashburton,Non-24 Hours,1 Y Street Location,(03) 98850522,145.07951,-37.86285
Avoca,Non-24 Hours,148 High Street,(03) 54653300,143.4748786,-37.0904516
Avondale Heights,24 Hours,162 Military Street,(03) 93376777,144.85927,-37.7558
Axedale,Non-24 Hours,88 High Street,(03) 54397202,144.5022,-36.7869
Bacchus Marsh,24 Hours,117 Main Street,(03) 53664500,144.4359511,-37.6757582
Bairnsdale,24 Hours,45-47 Main Street,(03) 51502600,147.6358997,-37.825849
Bairnsdale DIU,Non-24 Hours,45-47 Main Street,(03) 51502680,147.6358997,-37.825849
Bairnsdale Prosecutions,Non-24 Hours,45-47 Main Street,(03) 51502622,147.6358997,-37.825849
Ballan,Non-24 Hours,176 Inglis Street,(03) 53681303,144.2208752,-37.59985705
Ballarat,24 Hours,20 Dana Street,(03) 53366000,143.8543477,-37.5638295
Ballarat Prosecutions,Non-24 Hours,20 Dana Street,(03) 53366122,143.8543477,-37.5638295
Ballarat West,Non-24 Hours,1 Mirelle Drive,(03) 53389200,143.8000811,-37.5699214
Balmoral,Non-24 Hours,78 Coleraine Road,(03) 55701209,141.832321,-37.25221
Bayside,24 Hours,24 Abbott Street,(03) 85305100,145.0040237,-37.9488444
Beaufort,Non-24 Hours,11 Livingstone Street,(03) 53492101,143.3811512,-37.431505
Beeac,Non-24 Hours,63 Main Street,(03) 52346255,143.64006,-38.195306
Beechworth,Non-24 Hours,0 William Street,(03) 57281032,146.689864,-36.358896
Belgrave,24 Hours,2 Ena Road,(03) 97546677,145.3542675,-37.9082448
Bellarine,Non-24 Hours,67-69 The Parade,(03) 52562698,144.5260334,-38.267015
Benalla,24 Hours,3-19 Bridge (West) Street,(03) 57600200,145.997238,-36.548631
Benalla TMU,Non-24 Hours,4 Bridge Street,(03) 57622477,145.9820816,-36.552101
Bendigo,24 Hours,221 High Street,(03) 54481300,144.2783998,-36.759422
Bendigo Prosecutions,Non-24 Hours,221 High Street,(03) 54481490,144.2783998,-36.759422
Bendoc,Non-24 Hours,* Lower Bendoc Road,(02) 64581444,148.9546362,-37.1357491
Bethanga,Non-24 Hours,0 Bethanga Road,(02) 60264204,147.1357187,-36.151935
Beulah,Non-24 Hours,3 Higginbotham Street,(03) 53902212,142.4194627,-35.9432196
Birchip,Non-24 Hours,95 Cumming Avenue,(03) 54922300,142.917682,-35.979847
Birregurra,Non-24 Hours,89 Main Street,(03) 52362034,143.782711,-38.336298
Boolarra,Non-24 Hours,9 Church Street,(03) 51696222,146.2728604,-38.3811665
Boort,Non-24 Hours,8 Station Street,(03) 54552000,143.7238963,-36.114707
Boronia,24 Hours,259 Dorset Road,(03) 97606600,145.2856717,-37.86246
Boroondara (Kew),24 Hours,34 Harp Road,(03) 88511111,145.0518391,-37.7997339
Boroondara CIU,Non-24 Hours,34 Harp Road,(03) 88511155,145.0518391,-37.7997339
Box Hill,24 Hours,1 Kangerong Road,(03) 88923200,145.1273211,-37.8179928
Box Hill Embona,Non-24 Hours,1 Kangerong Road,(03) 88923360,145.1273211,-37.8179928
