Census year,Trading name,Desc,x coordinate,y coordinate
2017,Pickford Pharmacy,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9685194,-37.79758461
2017,Priceline,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9608162,-37.80741949
2017,My Chemist Melbourne,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9649331,-37.81662781
2017,Schneier Pharmacy,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9709196,-37.79775602
2017,Bactigro Australia Pty Ltd,Pharmaceutical and Toiletry Goods Wholesaling,144.9610146,-37.81453148
2017,Priceline,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9665978,-37.81376503
2017,Kiehls,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9630189,-37.81073331
2017,Victoria Police,Police Services,144.9663942,-37.81640467
2017,My Chemist Elizabeth Street,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9638215,-37.81498613
2017,Urban Pharmacy,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9607219,-37.81176227
2017,Victorian Comprehensive Cancer Centre ,Hospitals (except Psychiatric Hospitals),144.9581897,-37.80055483
2017,Australai Dream Group,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9654075,-37.81386024
2017,Evelyn Faye Nutrition ,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.962639,-37.814114
2017,Priceline ,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9652357,-37.8142367
2017,Priceline Pharmacy Bourke Street,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9623996,-37.81418223
2017,Mulqueeney Pharmacy,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9661258,-37.81528474
2017,Men's Biz,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.964049,-37.81458812
2017,Demarte's Amcal Chemist,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9681789,-37.79803089
2017,Chemist Warehouse,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9697778,-37.81170307
2017,Priceline ,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9711755,-37.81257803
2017,Healthsmart Pharmacy Carlton,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9669539,-37.79896491
2017,Abesa Pharma,Pharmaceutical and Toiletry Goods Wholesaling,144.9698799,-37.81579783
2017,Nova Pharmacy Collins Place ,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9726281,-37.81430616
2017,Treasury Pharmacy,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9728919,-37.81330535
2017,Beijing Tong Ren Tang,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9691712,-37.81122906
2017,Exhibition Pharmacy,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9699756,-37.80941489
2017,Healthsave,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9606403,-37.80955764
2017,Nurse 3 5 7 ,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9654266,-37.8123299
2017,Victoria Police,Police Services,144.9654659,-37.81866105
2017,Flinders Steet Station Pharmacy,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9654659,-37.81866105
2017,Crabtree & Evelyn,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9645574,-37.81567229
2017,Clinuvel Pharmacueticals,Pharmaceutical and Toiletry Goods Wholesaling,144.9610146,-37.81453148
2017,Chemist Warehouse,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9658365,-37.81296443
2017,Emporium Melbourne Pharmacy,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9638386,-37.81245199
2017,Chemist Warehouse Melbourne,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9636622,-37.8144328
2017,Creelmans Pharmacy,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9662952,-37.81272047
